product_id,product_name,category,price,description,image_path,product_url
101,Colorbar Mogra Mist - Scent Of An India Temple - 001,Fragrance,417,Premium Fragrance product: Colorbar Mogra Mist - Scent Of An India Temple - 001,images/101.jpg,https://www.nykaa.com/colorbar-mogra-mist-scent-of-an-india-temple-001/p/4633369
102,Get Party Ready With Kay Beauty Lip Liner - Dance Off & Matte Lipstick - Premier,Makeup,1394,Premium Makeup product: Get Party Ready With Kay Beauty Lip Liner - Dance Off & Matte Lipstick - Premier,images/102.jpg,https://www.nykaa.com/get-party-ready-with-kay-beauty-lip-liner-dance-off-matte-lipstick-premier/p/3621132
103,Herbal Essences Aloe & Bamboo Conditioner Soft Smooth Hair- No- Sulphates and Paraben(400gm),Haircare,578,Premium Haircare product: Herbal Essences Aloe & Bamboo Conditioner Soft Smooth Hair- No- Sulphates and Paraben(400gm),images/103.jpg,https://www.nykaa.com/herbal-essences-potent-aloe-bamboo-conditioner-sulphates-and-paraben-free-400ml/p/1044491
104,""Herbal Essences Aloe & Bamboo Shampoo + Conditioner For Soft Smooth Hair, No Sulphates & Paraben"",Haircare,1181,""Premium Haircare product: Herbal Essences Aloe & Bamboo Shampoo + Conditioner For Soft Smooth Hair, No Sulphates & Paraben"",images/104.jpg,https://www.nykaa.com/herbal-essences-potent-aloe-bamboo-shampoo-and-conditioner-combo-sulphate-and-paraben-free/p/1290145"
105,""Herbal Essences Aloe & Bamboo Shampoo + Conditioner Kit For Soft Hair, Sulphate & Paraben Free"",Haircare,945,""Premium Haircare product: Herbal Essences Aloe & Bamboo Shampoo + Conditioner Kit For Soft Hair, Sulphate & Paraben Free"",images/105.jpg,https://www.nykaa.com/herbal-essences-soha-aloe-bamboo-shampoo-conditioner-kit-for-soft-hair-sulphate-paraben-free/p/3753166"
106,""Herbal Essences Aloe & Bamboo Shampoo For Soft Smooth Hair, No-Sulphates, Paraben and Silicones"",Haircare,525,""Premium Haircare product: Herbal Essences Aloe & Bamboo Shampoo For Soft Smooth Hair, No-Sulphates, Paraben and Silicones"",images/106.jpg,https://www.nykaa.com/herbal-essences-potent-aloe-bamboo-shampoo-sulphates-silicones-and-paraben-free-400ml/p/1044492"
107,""Herbal Essences Aloe & Eucalyptus Shampoo + Aloe & Bamboo Conditioner, No- Sulphates & Paraben"",Haircare,1103,""Premium Haircare product: Herbal Essences Aloe & Eucalyptus Shampoo + Aloe & Bamboo Conditioner, No- Sulphates & Paraben"",images/107.jpg,https://www.nykaa.com/herbal-essences-potent-aloe-eucalyptus-shampoo-and-bamboo-conditioner-sulphate-and-paraben-free/p/1290147"
108,""Herbal Essences Aloe & Eucalyptus Shampoo For Soft Smooth Hair, No- Sulphates, Paraben and Silicones"",Haircare,525,""Premium Haircare product: Herbal Essences Aloe & Eucalyptus Shampoo For Soft Smooth Hair, No- Sulphates, Paraben and Silicones"",images/108.jpg,https://www.nykaa.com/herbal-essences-potent-aloe-eucalyptus-shampoo-sulphates-silicones-and-paraben-free-400ml/p/1044490"
109,Herbal Essences Argan 2 Shampoo + Conditioner,Haircare,1295,Premium Haircare product: Herbal Essences Argan 2 Shampoo + Conditioner,images/109.jpg,https://www.nykaa.com/herbal-essences-argan-2-shampoo-conditioner/p/1135934
110,Herbal Essences Argan Oil Of Moroccan Shampoo & Conditioner With Free Neem Comb,Haircare,750,Premium Haircare product: Herbal Essences Argan Oil Of Moroccan Shampoo & Conditioner With Free Neem Comb,images/110.jpg,https://www.nykaa.com/slash-save-herbal-essences-argan-shampoo-and-conditioner-kit/p/594425
